user_id,product_id,interaction_type,rating,timestamp,session_id
user_001,prod_104,view,,2025-08-15 21:43:07.074066,session_6140
user_001,prod_176,purchase,3.8263498013724906,2024-12-16 21:11:07.074280,session_3969
user_001,prod_155,cart,,2025-10-06 16:36:07.074452,session_3792
user_001,prod_122,purchase,4.73366951374562,2025-10-22 17:09:07.074613,session_7539
user_001,prod_274,cart,,2025-11-14 15:49:07.074771,session_3355
user_001,prod_284,purchase,4.954709326146747,2025-10-10 01:37:07.074926,session_4441
user_001,prod_033,view,,2025-04-09 03:29:07.075002,session_7109
user_001,prod_037,view,,2025-06-18 13:01:07.075073,session_8107
user_001,prod_227,view,,2025-05-16 18:28:07.075142,session_2939
user_001,prod_091,purchase,3.6049446608305584,2025-08-23 00:00:07.075296,session_4531
user_001,prod_099,purchase,3.1809299572791754,2025-07-16 08:13:07.075471,session_9954
user_002,prod_266,view,,2025-04-05 13:31:07.075562,session_4898
user_002,prod_012,rating,2.024901395451417,2025-09-12 04:58:07.075715,session_8244
user_002,prod_183,view,,2024-12-17 02:47:07.075785,session_6274
user_002,prod_133,view,,2025-07-07 14:36:07.075945,session_143
user_002,prod_024,rating,3.761003301707472,2024-11-25 15:05:07.076091,session_9058
user_002,prod_020,rating,4.485449594154884,2025-03-21 22:25:07.076239,session_3733
user_002,prod_242,view,,2025-10-31 19:19:07.076378,session_4921
user_003,prod_248,view,,2025-01-17 18:34:07.076448,session_5112
user_003,prod_240,view,,2025-09-30 23:14:07.076515,session_3862
user_003,prod_040,purchase,5.0,2025-03-21 10:28:07.076601,session_7397
user_004,prod_002,cart,,2025-05-06 20:33:07.076870,session_3937
user_004,prod_010,rating,2.481206228962018,2025-11-18 00:42:07.076949,session_13
user_004,prod_174,rating,5.0,2025-04-19 03:06:07.077099,session_3402
user_004,prod_268,view,,2025-10-23 11:37:07.077167,session_1215
user_005,prod_292,view,,2025-05-03 03:29:07.077239,session_2740
user_006,prod_075,view,,2025-01-14 02:25:07.077398,session_9725
user_006,prod_278,rating,2.4676163584072404,2025-02-05 18:34:07.077546,session_4410
user_006,prod_108,view,,2025-10-24 00:46:07.077694,session_56
user_006,prod_248,view,,2025-10-14 03:26:07.077839,session_4542
user_006,prod_272,view,,2025-06-25 04:09:07.077978,session_9355
user_006,prod_249,rating,3.55694281050699,2025-03-27 21:30:07.078124,session_4324
user_006,prod_097,view,,2025-01-22 21:23:07.078194,session_4538
user_006,prod_028,purchase,3.7220961055194204,2025-08-12 00:53:07.078339,session_5309
user_007,prod_020,view,,2025-06-14 01:59:07.078506,session_433
user_007,prod_110,rating,4.942620799050817,2025-07-10 17:42:07.078574,session_5025
user_007,prod_166,view,,2024-12-14 21:39:07.078724,session_387
user_007,prod_115,view,,2025-07-11 16:40:07.078869,session_2788
user_007,prod_075,view,,2025-07-23 07:47:07.079012,session_2759
user_007,prod_179,rating,3.973007959175613,2025-03-29 14:45:07.079163,session_234
user_007,prod_269,cart,,2025-01-12 00:18:07.079308,session_1794
user_007,prod_166,view,,2025-02-11 03:52:07.079377,session_2297
user_007,prod_165,view,,2025-08-18 10:11:07.079521,session_8880
user_007,prod_067,view,,2025-07-08 14:26:07.079665,session_348
user_007,prod_147,cart,,2025-11-04 16:23:07.079808,session_3681
user_007,prod_101,purchase,4.050430524264817,2025-04-12 06:59:07.079954,session_3933
user_008,prod_248,view,,2025-04-01 05:03:07.080023,session_7615
user_008,prod_182,view,,2025-11-12 03:44:07.080165,session_1447
user_008,prod_236,view,,2025-08-17 11:48:07.080308,session_6906
user_008,prod_111,view,,2025-04-06 18:00:07.080379,session_826
user_008,prod_022,rating,4.298584013623927,2025-06-23 10:51:07.080446,session_8288
user_008,prod_050,view,,2025-08-29 02:30:07.080509,session_7613
user_009,prod_189,cart,,2024-12-17 14:09:07.080660,session_1818
user_009,prod_146,rating,3.5712594855702537,2025-05-17 04:55:07.080730,session_9834
user_009,prod_199,cart,,2024-12-09 00:47:07.080797,session_4279
user_009,prod_183,view,,2025-07-01 23:59:07.080944,session_7958
user_009,prod_111,rating,3.548374240489079,2025-06-27 16:37:07.081012,session_7382
user_009,prod_215,rating,3.311788722705902,2025-03-02 14:56:07.081081,session_9635
user_009,prod_230,rating,3.358033934864976,2024-12-12 17:39:07.081231,session_6769
user_009,prod_252,purchase,3.9670227832390528,2025-03-28 18:06:07.081299,session_2378
user_009,prod_060,rating,5.0,2025-03-15 10:40:07.081448,session_5856
user_010,prod_154,view,,2025-04-26 04:51:07.081599,session_2007
user_010,prod_073,view,,2025-06-30 02:26:07.081750,session_9679
user_010,prod_003,rating,3.8556959849992345,2025-06-13 22:46:07.081896,session_2976
user_010,prod_043,view,,2025-07-26 16:19:07.081966,session_9469
user_010,prod_005,view,,2024-12-03 10:17:07.082030,session_8725
user_010,prod_121,view,,2024-12-12 19:32:07.082094,session_1177
user_010,prod_151,cart,,2025-06-14 22:38:07.082241,session_7644
user_010,prod_149,purchase,4.9380524646474155,2025-10-23 21:42:07.082391,session_3657
user_010,prod_135,view,,2025-07-11 14:22:07.082537,session_6906
user_010,prod_237,purchase,3.7410034933780305,2025-08-06 10:02:07.082607,session_1243
user_010,prod_123,view,,2025-10-14 04:09:07.082752,session_1644
user_010,prod_168,rating,2.751846298607449,2024-11-21 19:30:07.082819,session_5151
user_010,prod_246,rating,2.3264976385453515,2024-12-29 14:11:07.083009,session_9361
user_010,prod_142,cart,,2025-02-17 23:47:07.083305,session_6142
user_010,prod_168,view,,2024-11-20 03:47:07.083403,session_1659
user_010,prod_117,purchase,5.0,2025-07-18 06:18:07.083484,session_1958
user_010,prod_103,rating,2.538479785191707,2025-03-19 12:38:07.083562,session_772
user_010,prod_105,view,,2025-03-12 12:59:07.083742,session_5528
user_011,prod_084,purchase,4.229045500177598,2025-06-30 01:45:07.083820,session_1487
user_011,prod_019,rating,4.343070962120883,2025-05-16 06:25:07.083986,session_205
user_011,prod_041,view,,2025-05-06 01:33:07.084148,session_8775
user_011,prod_052,view,,2025-06-10 05:09:07.084299,session_7237
user_011,prod_105,purchase,3.5940958896293385,2025-01-03 11:46:07.084451,session_5897
user_011,prod_205,view,,2025-11-13 04:52:07.084522,session_5025
user_011,prod_213,view,,2025-01-27 12:19:07.084669,session_238
user_011,prod_198,view,,2025-05-22 20:12:07.084815,session_5157
user_012,prod_066,view,,2025-01-23 16:41:07.084884,session_2622
user_013,prod_068,purchase,3.810619036370649,2024-12-28 03:21:07.085037,session_2967
user_013,prod_037,purchase,4.4353812371603585,2025-09-18 08:42:07.085183,session_7739
user_013,prod_069,view,,2024-12-30 07:31:07.085326,session_561
user_013,prod_114,rating,4.827227513180115,2025-05-21 14:30:07.085470,session_590
user_013,prod_037,rating,3.0019033419770573,2025-09-04 15:55:07.085614,session_1056
user_013,prod_086,rating,5.0,2025-04-28 07:23:07.085756,session_246
user_013,prod_101,cart,,2025-03-21 09:40:07.085822,session_9805
user_013,prod_021,view,,2025-09-03 03:45:07.085964,session_6701
user_013,prod_057,rating,3.2106550184374694,2025-01-10 16:17:07.086105,session_728
user_013,prod_045,view,,2025-04-22 01:57:07.086172,session_3614
user_013,prod_259,purchase,4.417109627348997,2025-04-05 07:09:07.086239,session_7891
user_013,prod_072,view,,2025-07-16 08:37:07.086303,session_3009
user_014,prod_194,cart,,2025-01-14 18:19:07.086456,session_1746
